class,text,file
0,['m|uː|r|ɡ|ɡ|ʌ|t|t|ʌ|n|ʌ|t|t|i|n|aː|l| |v|ʌ|ɹ|ʌ|m|aː|ʈ|ʈ|eː|n| |ʲ|e|n|r|ʉ| |s|o|n|n|eː|n| |a|m|m|aː| |a|v|v|ʌ|ɭ|ʌ|v|oː| |k|aː|ɹ|i|j|ʌ|ŋ|ɡ|ʌ|ɭ| |v|eː|r|ʉ|v|i|d|ʌ|m|aː|ɡ|ʌ| |n|ʌ|ɖ|ʌ|n|d|i|ɹ|ʉ|k|k|ʌ|l|aː|m'],ISTL_0000202_0000009.wav
0,['a|d|aɪ|j|e|l|l|aː|m| |p|ʌ|ʈ|r|i| |i|p|p|oː|d|ʉ| |j|oː|s|i|t|t|ʉ| |ʲ|e|n|n|ʌ| |p|ʌ|j|ʌ|n| |d|ʌ|j|ʌ|v|ʉ| |s|e|j|d|ʉ| |p|u|r|ʌ|p|p|ʌ|ɖ|ʉ|ŋ|ɡ|ʌ|ɭ'],ISTL_0000202_0000010.wav
0,['m|aː|m|ʌ|l|l|ʌ|ɹ|ʉ|m| |t|ʌ|ŋ|ɡ|ʌ|ɭ| |t|ʌ|n|d|aɪ|j|ʉ|m| |t|ʌ|ŋ|ɡ|ʌ|ɭ|aɪ| |p|aː|r|k|k|ʌ| |aː|v|ʌ|l|ʉ|ɖ|ʌ|n| |k|aː|t|t|ʉ| |k|o|ɳ|ɖ|i|ɹ|ʉ|p|p|aː|r|ɡ|ʌ|ɭ'],ISTL_0000202_0000011.wav
0,['t|ʌ|ɭ|ʌ|b|ʌ|d|i| |a|v|ʌ|ɹ|ʉ|ɖ|aɪ|j|ʌ| |m|u|ɡ|ʌ|t|t|i|l| |n|aː|n| |ʲ|e|p|p|ʌ|ɖ|i| |v|i|ɻ|i|p|p|eː|n| |ʲ|e|n|n|aː|l| |m|u|ɖ|i|j|aː|d|ʉ'],ISTL_0000202_0000012.wav
0,['n|aː|n| |i|ŋ|ɡ|eː|j|eː| |i|ɹ|ʉ|n|d|ʉ| |u|j|i|ɹ|aɪ| |v|i|ɖ|ʉ|ɡ|i|r|eː|n| |aː|j|i|ɹ|ʌ|n| |d|ʌ|ɖ|ʌ|v|aɪ| |m|ʌ|n|n|i|p|p|ʉ| |k|eː|ʈ|ʈ|ʉ| |k|o|ɳ|ɖ|ʌ|d|aː|ɡ|ʌ| |a|v|ʌ|ɹ|i|ɖ|ʌ|m| |s|o|l|l|ʉ|ŋ|ɡ|ʌ|ɭ| |ʲ|e|n|r|ʉ| |s|i|v|ʌ|ɡ|aː|m|i| |s|o|l|l|i| |k|o|ɳ|ɖ|i|ɹ|ʉ|k|k|ʉ|m|p|oː|d|ʉ| |v|aː|s|ʌ|l|i|l| |p|e|ɹ|ʉ|ɲ| |s|ʌ|t|t|ʌ|m| |k|eː|ʈ|ʈ|ʌ|d|ʉ'],ISTL_0000202_0000013.wav
0,['a|ɹ|ʌ|s|ʌ| |n|i|r|v|aː|ɡ|ʌ| |n|oː|k|k|i|l| |p|u|l|oː|l|i| |d|i|k|k|ʉ|v|aː|ɹ|i|j|aː|ɡ|ʌ| |p|ʌ|d|i|n|aː|n|ɡ|ʉ| |ɡ|ɹ|aː|m|ʌ| |s|eː|v|ʌ|ɡ|ʌ|r| |p|i|ɹ|i|v|ʉ|ɡ|ʌ|ɭ|aː|ɡ|ʌ| |p|i|ɹ|i|k|k|ʌ| |p|ʌ|ʈ|ʈ|ʉ|ɭ|ɭ|ʌ|d|ʉ'],ISTL_0000202_0000014.wav
0,['i|d|ʉ| |m|u|d|ʌ|l|i|l| |s|uː|ɻ|ʌ|l|n|i|l|aɪ| |t|ʌ|ɹ|ʌ|v|ʉ| |p|oː|k|k|ʉ| |v|ʌ|ɹ|aɪ|p|ʌ|ɖ|ʌ|m| |v|ʌ|ɹ|aɪ|v|ʌ|d|ʌ|r|k|aː|n|ʌ| |p|o|d|ʉ|v|aː|n|ʌ| |n|ʌ|ɖ|aɪ|m|ʉ|r|aɪ| |i|d|ʉ| |k|ʌ|ɳ|i|n|i| |m|ʌ|ʈ|r|ʉ|m| |t|ʌ|ɹ|ʌ|m|ʉ|l|ʌ|ŋ|ɡ|ʌ|ɭ|aː|ɡ|ʌ|v|ʉ|m| |t|ʌ|ɹ|ʌ|v|ʉ|tʃː|eː|ɹ|i|ɖ|ʌ|ŋ|ɡ|ʌ|ɭ|aː|ɡ|ʌ|v|ʉ|m| |s|e|j|ʌ|l|p|ʌ|ɖ|ʉ|m| |p|u|r|ʌ| |m|u|ɡ|ʌ|v|ʌ|r|ɡ|ʌ|ɭ| |aː|ɡ|i|j|ʌ|v|ʌ|ʈ|r|ʉ|k|k|i|ɖ|aɪ|j|eː|j|aː|n|ʌ| |uː|ɖ|aː|ɖ|ʌ|l|aɪ|k| |k|aː|ɳ|b|i|k|k|i|n|r|ʌ|d|ʉ'],ISTL_0000202_0000015.wav
0,['s|uː|ɻ|ʌ|l| |v|ʌ|ɹ|aɪ|p|ʌ|ɖ|ʌ|t|t|i|l| |v|e|ɭ|i|j|ʉ|l|ʌ|ɡ|ʉ| |u|ɖ|ʌ|n|aː|n|ʌ| |k|ʌ|ɳ|i|n|i|j|i|n| |uː|ɖ|aː|ɖ|ʌ|l|ɡ|ʌ|ɭ| |k|ʌ|ɳ|i|n|i|j|i|n| |ʲ|e|l|l|aɪ|j|i|l| |t|ʌ|ɹ|ʌ|v|ʉ| |o|ɻ|ʉ|k|k|ʉ|ɡ|ʌ|ɭ|i|n|aɪ|p| |p|o|r|ʉ|t|t|ʉ| |m|i|ɡ|ʌ|v|ʉ|m| |k|ʌ|ɳ|ɖ|i|p|p|aː|ɡ|ʌ| |m|aː|d|i|ɹ|i|j|aː|k|k|ʌ|p|p|ʌ|ʈ|ʈ|ʌ|d|ʉ'],ISTL_0000202_0000016.wav
0,['s|uː|ɻ|ʌ|l| |v|ʌ|ɹ|aɪ|p|ʌ|ɖ|ʌ|m| |m|u|ɻ|ʉ| |a|m|aɪ|p|p|aɪ|j|ʉ|m| |o|ʈ|r|aɪ|tʃː|e|j|ʌ|l|aː|k|k|ʌ|m|aː|ɡ|ʌ|k| |k|aː|ɳ|b|i|k|k|i|n|r|ʌ|d|ʉ| |m|eː|l|ʉ|m| |a|d|ʌ|n| |a|ɡ|ʌ| |a|m|aɪ|p|p|aː|ɡ|ʌ| |i|ɹ|ʉ|p|p|ʌ|d|ʌ|r|k|aː|n|ʌ| |ʲ|e|n|d|ʌ| |k|u|r|i|p|p|ʉ|m| |a|ɭ|i|k|k|ʌ| |p|ʌ|ɖ|ʌ|v|i|l|l|aɪ'],ISTL_0000202_0000017.wav
0,['p|u|d|i|j|ʌ|d|aː|ɡ|ʌ| |v|ʌ|ɖ|i|v|ʌ|m|aɪ|k|k|ʌ|p|p|ʌ|ʈ|ʈ|ʉ|ɭ|ɭ|ʌ| |m|ʌ|l|eː|ʂ|i|j|aː|v|i|n| |a|ɖ|aɪ|j|aː|ɭ|ʌ| |a|ʈ|ʈ|aɪ| |m|ʌ|l|eː|ʂ|i|j|ʌ|r|ɡ|ʌ|ɭ|aɪ| |p|ʌ|l|v|eː|r|ʉ| |s|ʌ|m|ʌ|j|ʌ| |k|u|ɻ|ʉ|k|k|ʌ|ɭ|aː|ɡ|ʌ|p| |p|i|ɹ|i|k|k|i|n|r|ʌ|d|ʉ| |m|u|s|l|i|m| |k|r|i|t|t|ʌ|v|ʌ|r| |i|n|d|ʉ| |b|aʊ|t|t|ʌ|r'],ISTL_0000202_0000018.wav
